time,obj_id,x,y,collision
4.352,1,0,-5822.18,0
4.368,0,8.736,-5859.48,0
4.368,1,0,-5864.98,0
4.384,0,8.768,-5902.45,0
4.384,1,0,-5907.95,0
4.4,0,8.8,-5945.57,0
4.4,1,0,-5951.07,0
4.416,0,8.832,-5988.85,0
4.416,1,0,-5994.35,0
4.432,0,8.864,-6032.28,0
4.432,1,0,-6037.78,0
4.448,0,8.896,-6075.87,0
4.448,1,0,-6081.37,0
4.464,0,8.928,-6119.62,0
4.464,1,0,-6125.12,0
4.48,0,8.96,-6163.52,0
4.48,1,0,-6169.02,0
4.496,0,8.992,-6207.58,0
4.496,1,0,-6213.08,0
4.512,0,9.024,-6251.8,0
4.512,1,0,-6257.3,0
4.528,0,9.056,-6296.17,0
4.528,1,0,-6301.67,0
4.544,0,9.088,-6340.71,0
4.544,1,0,-6346.21,0
4.56,0,9.12,-6385.39,0
4.56,1,0,-6390.89,0
4.576,0,9.152,-6430.24,0
4.576,1,0,-6435.74,0
4.592,0,9.184,-6475.24,0
4.592,1,0,-6480.74,0
4.608,0,9.21599,-6520.4,0
4.608,1,0,-6525.9,0
4.624,0,9.24799,-6565.71,0
4.624,1,0,-6571.21,0
4.64,0,9.27999,-6611.19,0
4.64,1,0,-6616.69,0
4.656,0,9.31199,-6656.82,0
4.656,1,0,-6662.32,0
4.672,0,9.34399,-6702.6,0
4.672,1,0,-6708.1,0
4.688,0,9.37599,-6748.54,0
4.688,1,0,-6754.04,0
4.704,0,9.40799,-6794.64,0
4.704,1,0,-6800.14,0
4.72,0,9.43999,-6840.9,0
4.72,1,0,-6846.4,0
4.736,0,9.47199,-6887.31,0
4.736,1,0,-6892.81,0
4.752,0,9.50399,-6933.88,0
4.752,1,0,-6939.38,0
4.768,0,9.53599,-6980.61,0
4.768,1,0,-6986.11,0
4.784,0,9.56799,-7027.49,0
4.784,1,0,-7032.99,0
4.79999,0,9.59999,-7074.53,0
4.79999,1,0,-7080.03,0
